  90.00000000 -151.47198776 
 100.00000000 -151.47266530 
 110.00000000 -151.47300856 
 120.00000000 -151.47306684 
 130.00000000 -151.47292144 
 140.00000000 -151.47266022 
 150.00000000 -151.47236210 
 160.00000000 -151.47209970 
 170.00000000 -151.47190851 
 180.00000000 -151.47183825 
 190.00000000 -151.47190627 
 200.00000000 -151.47209234 
 210.00000000 -151.47236375 
 220.00000000 -151.47266092 
 230.00000000 -151.47292092 
 240.00000000 -151.47306734 
 250.00000000 -151.47300777 
 260.00000000 -151.47266463 
 270.00000000 -151.47198248 
 280.00000000 -151.47093198 
 290.00000000 -151.46953196 
 300.00000000 -151.46784893 
 310.00000000 -151.46599444 
 320.00000000 -151.46412422 
 330.00000000 -151.46241433 
 340.00000000 -151.46104277 
 350.00000000 -151.46015650 
 360.00000000 -151.45985309 
 370.00000000 -151.46016180 
 380.00000000 -151.46104692 
 390.00000000 -151.46241503 
 400.00000000 -151.46411875 
 410.00000000 -151.46599274 
 420.00000000 -151.46784877 
 430.00000000 -151.46953440 
 440.00000000 -151.47093594 
 450.00000000 -151.47198261 
